================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  alys               25.0%      0%      0%    100%
  chon               25.0%      0%      0%    100%
  chsd               25.0%      0%      0%    100%

────────────────────────────────────────────────────────────────────────────────
  State 5: S5
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  oriim              80.0%      0%    100%    100%
  aiil               75.0%      0%    100%    100%
  aiim               75.0%      0%    100%    100%
  aiir               75.0%      0%    100%    100%
  oiir               75.0%      0%    100%    100%
  aiiinro            71.4%      0%    100%      0%
  aii                66.7%      0%    100%    100%
  aiildy             66.7%      0%    100%      0%
  aiiral             66.7%      0%     75%    100%
  aiirol             66.7%      0%     75%    100%
  ail                66.7%      0%    100%    100%
  aim                66.7%      0%    100%    100%
  air                66.7%      0%    100%    100%
  airolm             66.7%      0%     75%    100%
  arl                66.7%      0%    100%    100%
  iir                66.7%      0%    100%    100%
  loiiim             66.7%      0%     75%    100%
  oiiiin             66.7%      0%    100%      0%
  oir                66.7%      0%    100%    100%
  oll                66.7%      0%    100%    100%
  olr                66.7%      0%    100%    100%
  aiidy              60.0%      0%    100%      0%
  aiiin              60.0%      0%    100%      0%
  aiily              60.0%      0%    100%      0%
  aiiry              60.0%      0%    100%      0%
  aildy              60.0%      0%    100%      0%
  airal              60.0%      0%     67%    100%
  airam              60.0%      0%     67%    100%
  airar              60.0%      0%     67%    100%
  airod              60.0%      0%     67%    100%

────────────────────────────────────────────────────────────────────────────────
  State 6: S6
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  eeedeed            85.7%    100%    100%      0%
  eeeody             83.3%    100%    100%      0%
  eeedy              80.0%    100%    100%      0%
  eeeey              80.0%    100%    100%      0%
  eeody              80.0%    100%    100%      0%
  eesey              80.0%    100%    100%      0%
  aeeodeey           75.0%      0%    100%      0%
  eedy               75.0%    100%    100%      0%
  eeer               75.0%    100%    100%      0%
  eees               75.0%    100%    100%      0%
  eeey               75.0%    100%    100%      0%
  eesy               75.0%    100%    100%      0%
  keedeedy           75.0%      0%    100%      0%
  deeeese            71.4%      0%    100%      0%
  doeedey            71.4%      0%    100%      0%
  eeoeety            71.4%    100%     80%      0%
  keeeody            71.4%      0%    100%      0%
  oeeeody            71.4%      0%    100%      0%
  oeeesoy            71.4%      0%    100%      0%
  oeesody            71.4%      0%    100%      0%
  qeedeey            71.4%      0%    100%      0%
